timestamp,epoch,step,total_steps,batch,total_batches,learning_rate,avg_loss,rank_correlation,examples,time_ms,total_time_s
2024-12-14 06:52:46,0,30,21977,309,219770,3e-05,7.100,0.027,1920,8827.865,70.76
2024-12-14 06:52:47,0,31,21977,319,219770,3.1e-05,7.350,-0.155,1920,1272.904,72.03
2024-12-14 06:52:49,0,32,21977,329,219770,3.2e-05,7.158,-0.117,1920,1277.879,73.31
2024-12-14 06:52:50,0,33,21977,339,219770,3.3e-05,7.227,-0.983,1920,1285.453,74.59
2024-12-14 06:52:51,0,34,21977,349,219770,3.4e-05,7.032,-0.673,1920,1298.690,75.89
2024-12-14 06:52:53,0,35,21977,359,219770,3.5e-05,7.179,-0.103,1920,1322.158,77.21
2024-12-14 06:52:54,0,36,21977,369,219770,3.6e-05,7.214,-0.195,1920,1286.083,78.5
2024-12-14 06:52:55,0,37,21977,379,219770,3.7e-05,7.113,0.040,1920,1285.110,79.78
2024-12-14 06:52:57,0,38,21977,389,219770,3.8e-05,7.344,1.560,1920,1284.341,81.07
2024-12-14 06:52:58,0,39,21977,399,219770,3.9e-05,7.051,0.145,1920,1323.540,82.39
2024-12-14 06:52:59,0,40,21977,409,219770,4e-05,7.172,-1.315,1920,1369.399,83.76
2024-12-14 06:53:01,0,41,21977,419,219770,4.1e-05,7.072,0.685,1920,1300.893,85.06
2024-12-14 06:53:02,0,42,21977,429,219770,4.2e-05,7.008,0.445,1920,1255.225,86.32
2024-12-14 06:53:03,0,43,21977,439,219770,4.3e-05,7.172,1.034,1920,1272.690,87.59
2024-12-14 06:53:04,0,44,21977,449,219770,4.4e-05,7.200,-0.636,1920,1279.444,88.87
2024-12-14 06:53:06,0,45,21977,459,219770,4.5e-05,7.239,0.052,1920,1255.685,90.13
2024-12-14 06:53:07,0,46,21977,469,219770,4.6e-05,7.237,-1.655,1920,1269.560,91.4
2024-12-14 06:53:08,0,47,21977,479,219770,4.7e-05,7.193,0.958,1920,1273.333,92.67
2024-12-14 06:53:09,0,48,21977,489,219770,4.8e-05,7.231,0.504,1920,1270.019,93.94
2024-12-14 06:53:11,0,49,21977,499,219770,4.9e-05,7.332,-0.235,1920,1282.803,95.22
2024-12-14 06:53:13,0,50,21977,509,219770,5e-05,7.232,0.243,1920,2430.482,97.65
2024-12-14 06:53:14,0,51,21977,519,219770,5.1e-05,7.226,-1.401,1920,1292.891,98.94
2024-12-14 06:53:17,0,52,21977,529,219770,5.2e-05,7.002,1.123,1920,2820.819,101.77
2024-12-14 06:53:19,0,53,21977,539,219770,5.3e-05,7.165,0.169,1920,1287.632,103.05
2024-12-14 06:53:20,0,54,21977,549,219770,5.4e-05,7.259,0.233,1920,1297.359,104.35
2024-12-14 06:53:21,0,55,21977,559,219770,5.5e-05,7.203,0.528,1920,1270.930,105.62
2024-12-14 06:53:22,0,56,21977,569,219770,5.6e-05,7.379,0.825,1920,1268.023,106.89
2024-12-14 06:53:24,0,57,21977,579,219770,5.7e-05,7.280,-0.591,1920,1278.135,108.17
2024-12-14 06:53:25,0,58,21977,589,219770,5.8e-05,7.200,-0.651,1920,1275.011,109.44
2024-12-14 06:53:26,0,59,21977,599,219770,5.9e-05,7.118,-0.405,1920,1262.891,110.71
2024-12-14 06:53:28,0,60,21977,609,219770,6e-05,7.092,0.404,1920,1358.932,112.06
2024-12-14 06:53:29,0,61,21977,619,219770,6.1e-05,7.168,0.252,1920,1274.462,113.34
2024-12-14 06:53:30,0,62,21977,629,219770,6.2e-05,7.187,0.020,1920,1264.112,114.6
2024-12-14 06:53:31,0,63,21977,639,219770,6.3e-05,7.191,-0.169,1920,1269.756,115.87
2024-12-14 06:53:33,0,64,21977,649,219770,6.4e-05,7.161,0.055,1920,1245.312,117.12
2024-12-14 06:53:34,0,65,21977,659,219770,6.5e-05,7.202,-0.701,1920,1267.928,118.39
2024-12-14 06:53:35,0,66,21977,669,219770,6.6e-05,7.157,-0.013,1920,1288.297,119.67
2024-12-14 06:53:36,0,67,21977,679,219770,6.7e-05,7.087,-0.375,1920,1276.089,120.95
2024-12-14 06:53:38,0,68,21977,689,219770,6.8e-05,7.137,-0.754,1920,1279.259,122.23
2024-12-14 06:53:39,0,69,21977,699,219770,6.9e-05,7.165,-0.390,1920,1270.869,123.5
2024-12-14 06:53:40,0,70,21977,709,219770,7e-05,7.052,0.700,1920,1359.688,124.86
